domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"Il protocollo di routing BGP:","Utilizza regole (policy) su informazioni aggiuntive a metriche di costo per identificare il ""migliore""...","è utilizzato esclusivamente per scambi di informazioni tra router di autonomous system differenti","è utilizzato esclusivamente per scambi di informazioni tra router dello stesso autonomous system","è il protocollo che andrà a sostituire OSPF",A,"BGP seleziona i percorsi migliori basandosi su attributi (AS-Path, Local Pref, ecc.) manipolati da policy amministrative, non solo su metriche tecniche."
"Le operazioni che un router MPLS può effettuare sui label sono le seguenti:","Aggiungere un label in posizione qualsiasi...","Aggiungere un label in posizione più esterna... (PUSH), eliminare il label nella posizione più esterna... (POP), cambiare il contenuto del label esterno (SWAP).","Aggiungere un label solo se non ce ne sono altri...","I label non possono essere manipolati...",B,"Le operazioni MPLS standard (Push, Pop, Swap) avvengono solo in cima allo stack (Top of Stack)."
"Quanti tipi di bursts esistono?","3: Regular, Access and Synchronization","2: Regular and Access","5: Regular, Access, Synchronization, Frequency Correction and Dummy","1: Regular",C,"Nel GSM esistono 5 tipi di burst fisici con funzioni diverse (dati, accesso, sincronizzazione, correzione frequenza, riempimento)."
"The Duplicate Address Detection (DAD) procedure","Is used in IPv6 In order to check that a host could also acquire an IPv4 address","Is used in IPv6 in order to check that the MAC address selected for a host is not already in use","Is used in IPv4...","Is used in IPv6 in order to check that the IPv6 address selected for a host is not already in use",D,"DAD è parte di NDP in IPv6 e serve a garantire che un indirizzo (anche autoconfigurato) sia unico sul link prima di usarlo."
"L'autoconfigurazione stateless di IPv6 presenta problemi di riservatezza?","Non vi sono particolari problemi.","Non permette la cifratura del carico.","E' possibile individuare la stessa interfaccia, se si collega a internet da vari provider.","Non permette l'uso delle intestazioni di sicurezza (tipo IPsec).",C,"Poiché l'Interface ID è derivato dal MAC address (hardware fisso), l'host è tracciabile attraverso reti diverse. Le Privacy Extensions risolvono questo problema."
"ssaflma;lf ;jfpjpoe wf egwg","ss","wegw g",N/A,N/A,B,"[Domanda spazzatura/test nel file originale. La soluzione indicata è B]."
"Le reti 192.168.1.0/24 e 192.168.2.0/24 sono aggregabili in:","192.168.0.0/23","0.0.0.0/0","192.168.1.0/23","Non sono aggregabili.",B,"(Duplicata della 5). Non sono contigue per formare una /23. La risposta 'catch-all' è 0.0.0.0/0 o nessuna."
"OSPF-TE and ISIS-TE include enhancements... to","Include adequate fields in routing messages to support explicit routing","Allow the independence of control plane and data plane...","Enable the distribution of additional information (named constrained data) in support of constraint based routing","Ensure faster convergence...",C,"Le estensioni TE trasportano informazioni sulle risorse (banda, attributi link) per permettere il calcolo di percorsi vincolati (CSPF)."
"Le così dette soluzioni VPN (virtual private network) di accesso o virtual dial-up VPN attualmente più diffuse sono basate su:","Connessioni dial-up.","Tunnelling attraverso una rete IP.","Utilizzo di un'infrastruttura di cablaggio esistente...","Nuovi protocolli di linea...",B,"Le moderne VPN di accesso remoto usano tunnel IP (IPsec, SSL/TLS) su Internet, sostituendo le vecchie connessioni dial-up dirette (RAS)."
"Handover è il meccanismo che permette di:","criptare un canale di comunicazione","gestire lo sgancio da una cella e il riaggancio ad una nuova","notificare ad un utente una chiamata in arrivo","richiedere accesso alla rete da parte di un utente",B,"(Duplicata della 19 e 75)."
"il fatto che una VPN offra accesso ad internet centralizzato implica che","la rete aziendale utilizzi un singolo internet service provider","non è necessario utilizzare dispositivi per la protezione...","i pacchetti inviati verso stazioni non appartenenti alla rete privata... potrebbero seguire un percorso non ottimale","l'impatto del traffico pubblico... viene ridotto",C,"Il 'tromboning' del traffico verso il gateway centrale allunga il percorso rispetto all'uscita diretta locale su Internet."
"L'architettura MPLS (multi-protocol label switching) è caratterizzato da:","Un diverso meccanismo (rispetto all'IP puro) per decidere l'interfaccia di uscita...","Protocolli di routing particolarmente veloci...","Terminali di rete intelligenti...","Un supporto particolarmente evoluto per fornire servizi a qualità garantita.",A,"MPLS usa il Label Swapping (Exact Match su label) invece del Longest Prefix Match su indirizzo IP."
"La procedura di Neighbor Discovery in IPv6","E' basata su un pacchetto ICMPv6 inviato in multicast","E' basata su un pacchetto ICMPv6 inviato in broadcast","E' basata su ARPv6","Richiede che la rete supporti anche IPv4",A,"NDP usa messaggi ICMPv6 su multicast (Solicited-Node) per risolvere indirizzi L2 (sostituendo ARP)."
"indirizzi global unicast aggregatable","Possono essere usati solo dai router","Possono essere usati solo dagli host","Sono distribuiti geograficamente in modo gerarchico",N/A,C,"Sono strutturati per essere aggregati nelle tabelle di routing globali, seguendo gerarchie di provider (LIR, ISP, ecc.)."
"Lo stack protocollare dell'interfaccia radio si articola nei seguenti livelli","MAC layer, IP layer, TCP/UDP layer","MAC layer, Manage protocol layer","MAC layer, RLC layer, RRC layer","Esiste un singolo livello",C,"(Duplicata della 53 nel set precedente) Stack radio LTE/UMTS: PHY, MAC, RLC, PDCP, RRC."
"L'importanza di MPLS... deriva dalla possibilità di","Realizzare commutatori con supporto specifico per garantire qualità del servizio","Avere un unico piano di controllo per diverse tencologie di commutazione","Realizzare apparati in grado di operare senza bisogno di configurazione","Distribuire il traffico su batterie di server",B,"MPLS offre un Control Plane IP unificato per gestire diverse tecnologie di trasporto sottostanti (ATM, FR, Ethernet)."
"li indirizzi in IPv6 di tipo Site Local","Vengono assegnati da un'autorità centrale...","Sono deprecati ma possono essere comunque usati","Non esistono","Sono impostati automaticamente...",B,"Gli indirizzi Site-Local (FEC0::/10) sono stati ufficialmente deprecati (RFC 3879) e sostituiti dagli ULA, ma possono esistere in reti legacy."
"Nella connessione UMTS","Esiste ancora il riuso delle frequenze, con possibili interferenze","Non esiste più il riuso delle frequenze e non si hanno interferenze grazie all'utilizzo di codici diversi","Esiste ancora il riuso delle frequenze, ma ottimizzato...","Non esiste più il riuso delle frequenze...",B,"UMTS usa W-CDMA: tutte le celle usano la stessa frequenza (riuso 1). L'interferenza è gestita tramite codici ortogonali/pseudo-casuali."
"redistribuzione nel contesto dei protocolli di routing consiste nel","distribuire la tabella di routing su più dispositivi...","redistribuire il traffico su più percorsi alternativi...","comunicare tramite un protocollo di routing route acquisite con un altro, per quanto questo risulti in una perdita di informazione","apprendere come raggiungere le destinazioni senza dover scambiare informazioni...",C,"La Route Redistribution importa rotte da una sorgente (es. OSPF) in un altro protocollo (es. BGP), perdendo le metriche originali."
"indirizzi global unicast aggregatable","Possono essere usati solo dai router","Possono essere usati solo dagli host","Sono distribuiti geograficamente in modo gerarchico",N/A,C,"(Duplicata della 102)."
"DWDM è una tecnologia che permette di","impaccare in modo denso un elevato numero di fibre ottiche...","commutare un segnale ottico...","multiplare/demultiplare segnali ottici a diverse lunghezze d'onda sulla stessa fibra","multiplare/demultiplare vari flussi di bit rate su un singolo canale...",C,"Dense WDM trasmette molti canali (colori) sulla stessa fibra fisica per aumentare la banda."
"La procedura di Neighbor Discovery in IPv6","E' basata su un pacchetto ICMPv6 inviato in multicast","E' basata su un pacchetto ICMPv6 inviato in broadcast","E' basata su ARPv6","Richiede che la rete supporti anche IPv4",A,"(Duplicata della 101)."
"L'architettura DiffServ è caratterizzata da:","Un meccanismo per separare il traffico in classi ognuna delle quali può ricevere un servizio specifico in ogni nodo attraversato","Protocolli di segnalazione sofisticati...","La capacità di fornire servizio a qualità garantita... (IntServ)","Protocolli di routing sofisticati...",A,"DiffServ classifica i pacchetti (DSCP) e applica comportamenti predefiniti (PHB) per classe, senza prenotazione per flusso."
"IPsec:","Usato solo per VPN","Gestisce Key encryption","Ha problemi con soluzioni che usano il NAT",N/A,C,"Il NAT rompe l'integrità di IPsec (AH) o blocca le porte (ESP). Serve NAT-Traversal (incapsulamento in UDP) per farlo funzionare."
"In riferimento agli Short Message Service (SMS), se il Mobile Terminal è off:","la rete GSM informa la rete e memorizza il messaggio, che verrà inviato quando il MT diventa on","si utilizza SDCCH per recapitare il messaggio","si utilizza SACCH per recapitare il messaggio","il messaggio non può essere inviato",A,"Il centro servizi SMS (SMSC) memorizza il messaggio (Store and Forward) finché l'utente non si registra nuovamente in rete."
"L'algoritmo di routing di tipo Distance Vector:","Può causare di fenomeni di ""Counting to Infinity"" solo in reti che presentano maglie","Causa sempre fenomeni di ""Counting to Infinity"" in reti non magliate","è caratterizzato da una minore possibilità di fenomeni di ""Counting to Infinity""... qualora si faccia uso della tecnica ""Split Horizon""","Il fenomeno di ""Counting to Infinity"" è proprio delle reti Link State.",C,"Lo Split Horizon aiuta a prevenire i loop semplici tra due nodi, riducendo (ma non eliminando del tutto in reti complesse) il rischio di Count-to-Infinity."
"Cosa contraddistingue una VPN realizzata secondo uno schema overlay?","Le apparecchiature dell'utente sono le stesse...","Non è possibile avere comunicazioni riservate","Non possono essere realizzate senza l'assenso dell'ISP...","Il gestore della rete non è al corrente che si sta realizzando una VPN",D,"Nelle VPN Overlay (es. tunnel GRE/IPsec gestiti dal cliente), il provider fornisce solo connettività IP di base e non vede la topologia o le rotte della VPN."
"Si supponga l'esistenza di tre AS... Se l'AS intermedio B vuole impedire che la sua rete venga usato come transito da A verso C:","Deve effettuare il mascheramento delle route verso A","Deve impostare una access list...","Deve impostare il mascheramento delle route verso A e una access list...","L'AS B non può bloccare il traffico...",C,"Per evitare il transito, B non deve annunciare ad A le rotte di C (e viceversa), e per sicurezza può bloccare il traffico dati diretto tra i due."
"Il pacchetto ICMPv6 Router Advertisement","Viene inviato in risposta ad un pacchetto ICMPv6 Neighbor Solicitation","è un pacchetto broadcast","Permette l'autoconfigurazione dei dispositivi senza l'utilizzo del protocollo DHCP","Viene inviato periodicamente da un router a tutti gli altri router...",C,"(Duplicata della 68)."
"Nella soluzione DS-Lite per la transizione IPV4-IPV6","non è prevista la funzionalità di NAT","La funzionalità di NAT è realizzata sul CPE dell'utente","La funzionalità di NAT è realizzata sia sul CPE che sui dispositivi dell'ISP","La funzionalità del NAT è realizzata per tutti gli utenti su opportuni dispositivi dell'ISP",D,"In DS-Lite, il NAT44 è centralizzato presso l'ISP (AFTR/CGNAT); la CPE fa solo tunneling IPv4-in-IPv6."
"Il protocollo IPv6 prevede che l'intestazione dei pacchetti IP:","Sia sempre autenticata...","Sia di dimensioni inferiori...","Sia costituita solo da campi di lunghezza fissa che portano informazioni necessarie in ogni pacchetto","Comprenda alcuni campi, prima disponibili solamente come opzioni di IPv4...",C,"L'header IPv6 base è semplificato e a lunghezza fissa (40 byte) per velocizzare il processing; le opzioni sono spostate negli Extension Header."
"L'architettura DiffServ è caratterizzata da:","Un meccanismo per separare il traffico in classi...","Protocolli di segnalazione sofisticati...","La capacità di fornire servizio a qualità garantita...","Protocolli di routing sofisticati...",A,"(Duplicata della 111)."
"A network interface with both an IPv4 and an IPv6 address can receive:","Both IPv4 and IPv6 packets","Only IPv4 packets encapsulated in IPv6...","Only IPv6 packets...","Only IPv6 packets encapsulated in IPv4...",A,"In configurazione Dual Stack, l'interfaccia può gestire nativamente entrambi i protocolli contemporaneamente."
"La principale limitazione del protocollo di routing RIP rispetto all'IGRP è che:","Essendo il RIP proprietario non è disponibile su tutti i router","La metrica del RIP è meno indicativa...","Non permette... il routing gerarchico","è un protocollo di tipo Distance Vector...",B,"RIP usa solo Hop Count (max 15), che non distingue tra un link lento e uno veloce. IGRP usa una metrica composta (banda, ritardo, ecc.)."
"La modalità di funzionamento ""Tunnel mode"" di IPsec prevede che venga criptato","Esclusivamente l'intestazione TCP/UDP e il payload","Solo il payload del pacchetto interno","L'intestazione IP, l'intestazione TCP/UDP e il payload del pacchetto interno","Tutto il pacchetto esterno, inclusa l'intestazione IP",C,"Cifra l'intero pacchetto IP originale (incluso il suo header) e lo incapsula in un nuovo pacchetto IPsec."
"La redistribuzione:","è quel processo che va abilitato sul router...","è utilizzata per lo scambio di informazioni...","Viene utilizzata soprattutto dai domini di routing periferici...","è utilizzata per permettere il passaggio delle informazioni di routing da un dominio di routing A ad un dominio di routing B",D,"(Vedi domanda 107)."
"Quale tra questi elementi rappresenta un notevole svantaggio nella tecnica del routing centralizzato?","Scarse prestazioni...","Difficoltà nel determinare l'effettiva topologia...","Traffico dati particolarmente intenso...","Criticità del nodo centrale dal punto di vista della robustezza e della scalabilità",D,"Il nodo centrale è un Single Point of Failure e un collo di bottiglia per le prestazioni e la scalabilità."
"In Diffserv, una ""Classe di Servizio"" identifica:","Un set di pacchetti che appartengono alla stessa sessione VoIP","Un set di pacchetti che ricevono lo stesso trattamento da parte del router","Una modalità operativa dei router di bordo...",N/A,B,"Identifica un aggregato di traffico (Behavior Aggregate) a cui viene applicato lo stesso PHB (Per-Hop Behavior)."
"LTE uses which channel access?","fdma","cdma","ofdma","tdma",C,"LTE usa OFDMA in downlink e SC-FDMA in uplink."
"Gli LSP (label switched path) nell'architettura MPLS...","Rappresentano percorsi alternativi...","Vengono scambiati dai router...","Costituiscono il percorso più breve...","Vengono creati (set up) per il trasporto di pacchetti appartenenti ad una classe di equivalenza di inoltro (FEC).",D,"L'LSP è il percorso unidirezionale stabilito per una specifica FEC."
"DiffServ si differenzia da IntServ perché:","DiffServ tende a fornire una garanzia su QoS che IntServ non dà.","DiffServ introduce nuovi protocolli...","IntServ tende a fornire una garanzia su QoS che DiffServ non dà.","DiffServ tende a garantire un tempo massimo...",C,"IntServ offre garanzie forti (Hard QoS) per flusso tramite prenotazione; DiffServ offre garanzie soft/statistiche per aggregati (Soft QoS) ed è più scalabile."
"La tecnica di ""Split Horizon"":","Prevede che le route ricevute... vengano sempre annunciate... con metrica pari a infinito","Prevede che un prefisso non venga annunciato al vicino che rappresenta il ""next hop"" verso quella destinazione","Prevede che una destinazione venga dichiarata irraggiungibile...","Nessuna delle risposte precedenti",B,"Non annunciare una rotta indietro al router da cui l'hai imparata."
"The difference between link state and distance vector routing algorithms can be summarized as follows:","Link state algorithms send local information only to neighboring nodes...","Link state algorithms send local information to all nodes in the network; distance vector algorithms send global information only to neighboring nodes","Link state algorithms send global information to all nodes...",N/A,B,"Link State: flooding di info locali a tutti. Distance Vector: scambio di info globali (vettori) solo con i vicini."
"Un Host A ha indirizzo 192.168.1.1/24 e un Host B 192.168.1.129/25.","Entrambi possono comunicare direttamente l'uno con l'altro.","A può comunicare direttamente con B ma non viceversa.","A ha bisogno di un router per comunicare con B","Non possono comunicare.",B,"A (/24) vede B (129) nella sua rete (1-254) -> invia diretto. B (/25) ha range 128-255, quindi vede A (1) fuori dalla sua rete -> invia al gateway. Comunicazione asimmetrica."
"L'importanza di MPLS... deriva dalla possibilità di","Realizzare commutatori con supporto specifico...","Avere un unico piano di controllo per diverse tencologie di commutazione","Realizzare apparati... senza bisogno di configurazione","Distribuire il traffico...",B,"(Duplicata della 104)."
"In the LTE core network, packets are routed to/from the Access network by:","The Mobility Management Entity (MME)","The eNodeB","The Packet Data Network Gateway (PGW)","The Serving Gateway (SGW)",D,"Il Serving Gateway (SGW) è il punto di ancoraggio della mobilità e gestisce l'instradamento dei pacchetti utente tra l'eNodeB e il PGW."
"Il termine ""Peering"" si riferisce a:","Il punto di collegamento tra due router di due Internet Service Provider diversi","Lo scambio di informazioni tra un router e una stazione...","Lo scambio di informazioni tra due router OSPF...","Lo scambio di informazioni tra due router OSPF...",A,"Peering è l'interconnessione volontaria tra reti (ISP) per scambiare traffico tra i rispettivi clienti (solitamente gratuita o quasi)."
"Il routing inter-dominio:","Prevede che ogni router sappia esattamente il percorso...","Prevede che un exterior gateway operi scelte di percorsi... coerenti con gli accordi esistenti con altri autonomous system","Prevede che ogni router sappia esattamente il costo...","è un concetto che tenderà a sparire",B,"Si basa su BGP e policy routing tra AS."
"Quale delle seguenti di una tabella di routing fa longest prefix matching con 180.3.13.223","180.3.13.192/28","180.3.13.224/28","180.3.13.208/29","Nessuna delle precedenti",D,"192/28 va da .192 a .207 (non include .223). 224/28 va da .224 a .239 (non include .223). 208/29 va da .208 a .215 (non include .223). Nessuna matcha."
"Un host IPv6 al reboot, acquisirà il seguente indirizzo:","Non è possibile sapere con precisione...","Un indirizzo FE80::/32","Per quanto riguarda l'indirizzo link-local, assumera' lo stesso indirizzo IPv6 che possedeva prima del reboot.","L'indirizzo dipende interamente dalla configurazione...",C,"L'indirizzo Link-Local è derivato dall'hardware (MAC/EUI-64), quindi è persistente tra i riavvii (se non si usano indirizzi random)."
"Header IPv6","L'header è di dimensione fissa e non possono essere aggiunte opzioni","L'header è di dimensione variabile","Dimensione dell'header fissa ma con eventuale aggiunta di Header aggiuntivi(?)",N/A,C,"Header fisso a 40 byte, estensibile tramite Extension Headers."
"The static routing","It is an obsolete technology...","Consists in one network node computing routes...","Consists in the automatic learning of routes...","Consists in the network administrator manually configuring routing information in each router",D,"Il routing statico richiede la configurazione manuale delle rotte da parte dell'amministratore."
"una extranet è","una rete che è utilizzata quando serve capacità trasmissiva extra...","una parte di una rete privata che è accessibile pubblicamente da internet...","una rete privata che include reti di organizzazioni indipendenti, come per esempio diverse reti aziendali","una rete privata utilizzata per collegare server aggiuntivi...",C,"Un'Extranet estende la Intranet aziendale a utenti esterni fidati (partner, fornitori, clienti) su una rete sicura."
"A device equipped with the NAT64 functionality is able to","Operate on 64-bit IP addresses","Replace the IPv6 header of a packet with an IPv4 one, and vice versa","Convert an IPv6 packet in an Ethernet frame","Replace the IPv6 destination address in the IPv6 header of a packet with an IPv4 one, and vice versa",B,"NAT64 traduce gli header e gli indirizzi tra pacchetti IPv6 e IPv4 per permettere la comunicazione tra i due mondi."
"Il Solicited Node Multicast Address è:","L'indirizzo multicast utilizzato come indirizzo sorgente...","L'indirizzo multicast che viene inserito nel payload...","L'indirizzo multicast che viene inserito nel payload...","L'indirizzo multicast utilizzato come indirizzo destinazione in un pacchetto di Neighbor Solicitation",D,"L'indirizzo destinazione della NS è il Solicited-Node Multicast corrispondente all'indirizzo target (FF02::1:FFxx:xxxx)."
"A device equipped with the NAT64 functionality is able to","Operate on 64-bit ip address","Replace the Ipv6 header of a packet with an ipv4 one, and vice versa","convert an IPv6 packet in an ethernet frame","replace the ipv6 destination address...",B,"(Duplicata della 142)."
"Un Area Border Router OSPF","Dispone di informazioni riassuntive sulle aree su cui si affaccia e le diffonde nelle aree...","Conosce i dettagli della backbone area","Genera LSA di tipo 5...","Inoltra, mediante il meccanismo del flooding, tutti gli LSA...",B,"L'ABR connette un'area alla Backbone Area (Area 0) e mantiene il database topologico di entrambe."
"In che modo MPLS può essere utilizzato per realizzare una VPN?","Per realizzare una VPN di accesso.","MPLS non può essere usato per realizzare VPN.","Può fornire tutto il meccanismo di instradamento in reti overlay...","Può fornire collegamenti punto-a-punto in reti overlay o tutto il meccanismo di instradamento in reti peer.",D,"MPLS può supportare VPN L2 (pseudowire/VLL - overlay punto-punto) o VPN L3 (BGP/MPLS VPN - peer model con routing)."
"The IGMP protocol","Allows a host to communicate to other hosts...","Allows a router to communicate to other routers...","Carries the multicast traffic generated by hosts","Allows a host to communicate to routers in the network its own interest in receiving the traffic related to a given multicast group",D,"IGMP è il protocollo host-router per la gestione delle iscrizioni ai gruppi multicast."
"In MPLS, il protocollo per l'assegnazione delle label è:","OSPF","RSVP-TE","IS-IS","L2TP",B,"RSVP-TE (e LDP) sono protocolli di segnalazione usati per distribuire le label e riservare risorse per i percorsi MPLS."
"I concetti di Forwarding e Routing:","Sono sinonimi...","Sono concetti differenti... routing trova percorso... forwarding determina porta uscita...","Sono concetti differenti... forwarding trova percorso... routing determina porta uscita...",N/A,D,"[Nota: La soluzione nel file è D, ma logicamente invertita? Solitamente Routing = percorso globale/tabella, Forwarding = commutazione locale pacchetto per pacchetto. La D dice Routing=percorso, Forwarding=porta uscita. Ah, la D dice 'Routing mira ad individuare un percorso... Forwarding permette... di determinare la porta'. Questa è corretta. Attenzione all'ordine delle opzioni]."

"VPNs (virtual private networks) are used to","Divide a corporate local area network...","Transport private traffic through a shared infrastructure while creating the same conditions...","Partition a private network...","N/A",B,"(Duplicata della 25)."

Domanda,OpzioneA,OpzioneB,OpzioneC,OpzioneD,Soluzione,Motivazione
"La distribuzione delle etichette in MPLS (Multi-Protocol Label Switching)","Può essere operata utilizzando il protocollo RSVP (Resource ReSerVation Protocol)","Non è necessaria quando i nodi della rete utilizzano il protocollo di routing BGP","Coinvolge nodi di rete e stazioni","Può essere fatta implicitamente tramite il protocollo di routing OSPF",A,"RSVP-TE è uno dei protocolli standard (insieme a LDP) utilizzati per distribuire le label e stabilire LSP, specialmente quando si richiede Traffic Engineering."
"Indicate the false claim among the below statements about SSL (Secure Socket Layer)-based VPNs","They can use tunnels over TCP or UDP","They operate in kernel space","No Standard solutions are available","They are weak against DOS attacks",B,"Le VPN SSL operano tipicamente in user space (livello applicazione/sessione), a differenza di IPsec che opera in kernel space (livello rete)."
"Il protocollo RIP è caratterizzato da","L'uso dell'algoritmo di routing link state","La possibilità di essere utilizzato sia per il routing interdominio che per il routing intradominio","La capacità di operare su reti di larghe dimensioni per via della sua capacità di operare in modo gerarchico","Frequenti instabilità e facilità nel creare percorsi di inoltro circolari",D,"RIP è un protocollo Distance Vector che soffre di lenta convergenza e può generare loop (routing loops) durante i transitori."
"The Timing Advance in the GSM is","The capability of a mobile terminal to operate in different time zones","The beginning of the transmission at a mobile terminal *before* the beginning of its assigned time-slot","The beginning of the transmission at a mobile terminal *after* the beginning of its assigned time-slot","The beginning of the transmission at a mobile terminal before the creation of the SDCCH",B,"Il Timing Advance anticipa la trasmissione del mobile per compensare il ritardo di propagazione, assicurando che il burst arrivi alla BTS esattamente nello slot corretto."
"Due host collegati ad una rete Switched Ethernet attraverso porte configurate in modalità Access:","Possono comunicare solo se appartenenti alla stessa VLAN","Non possono comunicare","Se appartengono a VLAN diverse, possono comunicare solo se sono collegati a switch diversi... trunk","Se appartengono a VLAN diverse, è possibile che riescano a comunicare anche se sono collegati a switch diversi e le porte degli switch sono configurate in modalità Access.",D,"È tecnicamente possibile (anche se errato/insicuro) collegare due porte access di VLAN diverse con un cavo, creando un 'leak' di traffico tra le VLAN."
"Si consideri una semplice topologia di rete... (A-B-C-D-A). Se A invia a D con flooding, quante copie riceve D?","1","2","3","Proporzionale al TTL",D,"[Nota: Soluzione file D]. In flooding puro senza controllo duplicati, il pacchetto può circolare e moltiplicarsi finché il TTL non scade."
"L'International Mobile Equipment Identity (IMEI) è:","Un codice temporaneo assegnato dall'ISP","Un codice fisso assegnato dal BTS","Un numero telefonico temporaneo","Identifica il dispositivo, è assegnato dal venditore e non è modificabile",D,"L'IMEI è l'identificativo fisico univoco dell'hardware del terminale mobile."
"Implementazione Multicast in IPv4","Disponibile senza necessità di protocolli aggiuntivi","Disponibile ma con protocolli aggiuntivi","Non supportato","N/A",B,"IPv4 supporta il multicast, ma richiede protocolli aggiuntivi come IGMP (per gestione gruppi) e PIM (per routing)."
"Quale delle seguenti affermazioni sull'Internet eXchange Point (IXP) è falsa?","è dove router paritetici scambiano informazioni di routing","spesso viene anche identificato attraverso il nome di Neutral Access Point (NAP)","connette solo ISP di livello 1","consiste in una LAN dove router di differenti AS sono connessi",C,"Gli IXP connettono ISP di vari livelli (Tier 1, 2, 3), content provider e altre reti, non solo Tier-1."
"Cos'è l'effetto ping-pong?","Il proporre la cella di sgancio come cella di aggancio","Il rimbalzo dei segnali all'interno di una cella","Un modo alternativo per definire il concetto di handover","N/A",A,"L'effetto ping-pong è l'handover continuo e ripetuto tra due celle adiacenti, spesso dovuto a fluttuazioni del segnale."
"LSP (Label Switched Path) setup in MPLS implies that","Routers connected at the ends of a link share which label should be prepended...","The hosts sending and receiving packets... support MPLS","Routers at the two ends of the LSP directly exchange routing information","The upstream router on a link communicates to the downstream router which label...",A,"I router adiacenti (peer LDP) si accordano sul significato delle label per ogni FEC (label binding)."
"Un indirizzo link-local:","E' utilizzabile per permettere la comunicazione tra stazioni su link locali (es. una LAN) in mancanza di altri indirizzi IPv6.","Serve per collegare fisicamente due stazioni su un link locale.","E' l'indirizzo utilizzato dalle stazioni su una LAN per scambiarsi i dati.","E' utilizzato in tutte le comunicazioni tra stazioni locali.",A,"È l'indirizzo di base (FE80::/10) per comunicazioni sullo stesso segmento, essenziale per NDP e autoconfigurazione."
"The Integrated Services (IntServ) solution has been standardized to","Allow applications to request to and receive from the network the quality of service they need.","Mark packets as belonging to a specific class...","Integrate within the network traditional IP routers and MPLS...","Enable the integrated deployment of IP routers and Ethernet switches...",A,"IntServ usa RSVP per permettere alle applicazioni di richiedere una specifica QoS end-to-end (prenotazione risorse)."
"The entries of the filtering database of an Ethernet switch","Have a lifetime, which varies over time...","Have all an infinite lifetime","Have a lifetime, which is always less than 1 second...","Have a lifetime, which generally can be set by the switch administrator",D,"Il tempo di invecchiamento (aging time) delle voci MAC apprese è configurabile (default spesso 300s)."
"In una stazione utente collegata ad una VPN con accesso centralizzato, i messaggi diretti a stazioni esterne alla VPN passano attraverso:","Il sito della VPN a cui la macchina utente è collegata.","Non è possibile raggiungere stazioni esterne alla VPN.","Un router specializzato per questi pacchetti.","Vengono inviati direttamente dalla stazione utente al destinatario esterno.",A,"Tutto il traffico viene instradato nel tunnel verso il gateway VPN centrale."
"High speed packet access (HSPA):","Utilizza canali dedicati per una migliore trasmissione","Il TTI aumenta 10ms","Utilizza canali condivisi per ridurre lo spreco di risorse","Il TTI di 1ms grazie all'utilizzo di OFDMA...",C,"HSPA migliora l'efficienza UMTS introducendo canali condivisi ad alta velocità e modulazioni più efficienti."
"One of the main strengths of the IPv6 protocol is","The possibility to use 10Gb/s channels","The possibility to enable a routing mechanism based on names","The large size of the addressing space","The encryption of the packet payload...",C,"Il vantaggio principale è lo spazio di indirizzamento a 128 bit."
"Nel meccanismo del secchiello a gettoni si riesce a controllare:","Il tempo di attraversamento massimo di un router.","La gestione interna delle code con WFQ.","La velocità minima di immissione dei dati.","Il burst size massimo e la velocità media di immissione dei dati.",D,"Token Bucket controlla rate medio (r) e burst size (b)."
"The paging procedure in a cellular network is used for","Notifying the mobile terminal that it has to be contacted","Notifying the mobile terminal that it is going to change the cell","Forcing the mobile terminal to apply proper memory sharing policies","Sending an SMS",A,"Il paging serve alla rete per localizzare e svegliare un terminale in idle mode quando c'è una chiamata o dati in arrivo."
"la più piccola aggregazione che può contenere le due reti IP 130.192.0.0/25 e 130.192.1.0/25","130.192.1.0/23","130.192.0.0/24","130.192.1.0/24","130.192.0.0/23",D,"Reti 0.0/25 e 1.0/25. Non contigue per una /24. Aggregazione minima è la /23."
"In una rete IPV4","Una stazione è raggiunta da un pacchetto multicast... solo se iscritta...","Una stazione può essere raggiunta da un pacchetto multicast... anche se non è iscritta...","Una stazione non è in grado di comprendere un pacchetto IPV4 multicast","Una stazione consegna sempre al livello applicazione tutti i multicast ricevuti",B,"Senza IGMP Snooping sugli switch, il traffico multicast viene spesso trattato come broadcast a livello 2, raggiungendo tutti gli host."
"Le procedure di Neighbor Discovery in IPv6","è basata su ARPv6","è basata su un pacchetto ICMPv6 inviato in broadcast","è basata sun un pacchetto ICMPv6 inviato in multicast","richiede che la rete supporti anche IPv4",C,"NDP usa messaggi ICMPv6 inviati al multicast Solicited-Node."
"Among the four proposed alternatives, which is the smallest valid aggregation that can represent 130.192.1.0/24 and 130.192.2.0/24","130.192.1.0/23","0.0.0.0/0","130.192.1.0/23","130.192.0.0/23",B,"1.0/24 e 2.0/24 non sono contigue (mancano 0.0 e 3.0 per fare aggregazioni pulite /22). La risposta B (default route) le copre, sebbene in modo lato."
"La procedura di paging in una rete cellulare","E' basata su un messaggio che viene diffuso in modalità broadcast nell'intera rete cellulare","E' basata su un messaggio che viene diffuso in modalità broadcast all'interno della location area...","E' riferita alla procedura usata dal terminale per gestire la memoria interna","E' riferita alla procedura usata dal terminale per aggiornare la loro posizione...",B,"Il messaggio di paging viene inviato in broadcast in tutte le celle appartenenti alla Location Area dove l'utente è registrato."
